Ticker,Theme,Name
ES=F,Equity-Futures,S&P 500
NQ=F,Equity-Futures,Nasdaq 100
RTY=F,Equity-Futures,Russell 2000
YM=F,Equity-Futures,Dow Jones
GC=F,Metalle,Gold
DX-Y.NYB,FX,Dollar-Index
JPY=X,FX,USD/JPY
EURUSD=X,FX,EUR/USD
^VIX,Volatilitaet,VIX
^VIX3M,Volatilitaet,VIX 3M
ZN=F,Rates,10Y T-Note
ZB=F,Rates,30Y T-Bond
