date,universe,n,adv,dec,up_vol,dn_vol,up4,dn4,up25q,dn25q,up13_34,dn13_34,nh,nl,p_ab20,p_ab40,p_ab50,p_ab200,p_stack,p_s1,p_s2,p_s3,p_s4
2024-08-15,nasdaq,2779,2046,613,589,202,282,19,324,661,604,721,43,23,37.61,44.19,44.39,44.82,27.92,17.22,40.02,4.91,37.85
2024-08-15,r2000,1855,1586,229,433,92,202,10,193,207,470,239,38,7,39.74,54.69,56.14,59.18,34.73,18.16,54.93,4.24,22.67
2024-08-15,scan,208,193,14,45,6,18,0,42,0,105,0,9,0,83.17,100.0,100.0,100.0,86.54,0.0,100.0,0.0,0.0
2024-08-15,sp500,499,416,83,122,26,44,1,15,6,77,24,16,0,71.34,65.93,66.53,75.6,51.1,14.75,72.32,3.23,9.7
2024-08-16,all,3906,2182,1541,574,344,101,36,366,715,799,778,50,21,45.42,50.21,51.24,52.21,34.49,16.28,47.88,4.4,31.44
2024-08-16,nasdaq,2782,1497,1130,405,256,86,31,311,666,583,706,35,20,40.43,44.82,45.72,45.1,29.71,16.77,40.36,4.88,38.0
2024-08-16,r2000,1855,1075,712,290,163,47,15,180,214,450,245,31,2,43.41,55.88,57.52,59.34,37.15,17.89,55.37,3.96,22.78
2024-08-16,scan,202,109,90,18,11,4,1,37,0,97,0,3,0,82.18,100.0,100.0,100.0,87.62,0.0,100.0,0.0,0.0
2024-08-16,sp500,499,317,179,68,31,1,0,15,6,76,24,9,0,76.15,68.74,69.14,76.21,53.11,14.55,72.53,3.64,9.29
2024-08-19,all,3907,2816,960,647,250,232,29,384,669,1002,703,91,15,54.97,54.28,54.75,53.61,38.14,15.08,48.98,4.69,31.25
2024-08-19,nasdaq,2783,1945,722,513,193,201,24,329,627,712,646,55,14,50.52,48.93,49.0,46.49,33.14,15.57,41.49,5.1,37.85
2024-08-19,r2000,1855,1406,408,316,112,136,11,186,190,556,206,40,3,53.35,59.62,61.2,61.1,41.73,16.57,56.47,4.57,22.4
2024-08-19,scan,201,169,32,25,6,12,1,26,0,109,0,5,0,87.06,98.01,100.0,100.0,86.57,0.0,100.0,0.0,0.0
2024-08-19,sp500,499,414,82,41,12,6,0,12,7,105,19,21,0,85.57,73.15,73.55,78.02,56.31,12.9,74.4,3.63,9.07
2024-08-20,all,3907,1123,2626,314,412,59,82,340,704,920,709,47,29,50.22,50.23,52.09,52.34,39.41,16.03,48.28,4.11,31.58
2024-08-20,nasdaq,2783,841,1808,243,320,56,57,292,660,670,634,31,25,46.51,45.48,46.93,45.55,34.41,16.2,41.13,4.5,38.17
2024-08-20,r2000,1855,407,1398,119,192,22,42,160,203,498,219,19,11,45.57,53.55,57.08,59.23,43.03,17.89,55.31,3.85,22.95
2024-08-20,scan,193,38,154,7,18,2,3,28,0,106,0,1,0,84.46,99.48,100.0,100.0,95.34,0.0,100.0,0.0,0.0
2024-08-20,sp500,499,174,322,28,33,2,6,10,6,94,26,19,0,79.96,69.94,70.74,76.81,58.72,14.11,73.39,3.43,9.07
2024-08-21,all,3907,2780,952,536,221,194,23,376,667,990,680,81,18,59.58,55.14,56.36,53.94,41.63,14.81,49.48,4.53,31.18
2024-08-21,nasdaq,2783,1874,754,402,181,157,22,325,622,715,615,46,16,55.32,50.02,51.07,46.77,36.3,15.37,42.02,4.87,37.74
2024-08-21,r2000,1855,1431,365,233,88,115,6,189,182,547,205,35,6,58.28,59.08,62.07,60.74,45.96,16.72,56.38,4.35,22.55
2024-08-21,scan,205,173,29,25,6,16,1,37,0,110,0,5,0,86.34,99.51,100.0,100.0,91.22,0.0,100.0,0.0,0.0
2024-08-21,sp500,499,405,93,54,13,9,1,11,7,106,22,30,1,86.57,76.15,74.95,79.64,60.32,11.09,76.01,3.63,9.27
2024-08-22,all,3907,1219,2531,292,393,55,124,341,686,993,728,64,23,56.17,50.81,52.71,52.61,42.56,15.85,48.41,4.24,31.5
